Label,TRACK_ID,NUMBER_SPOTS,NUMBER_GAPS,LONGEST_GAP,NUMBER_SPLITS,NUMBER_MERGES,NUMBER_COMPLEX,TRACK_DURATION,TRACK_START,TRACK_STOP,TRACK_DISPLACEMENT,TRACK_INDEX,TRACK_X_LOCATION,TRACK_Y_LOCATION,TRACK_Z_LOCATION,TRACK_MEAN_SPEED,TRACK_MAX_SPEED,TRACK_MIN_SPEED,TRACK_MEDIAN_SPEED,TRACK_STD_SPEED,TRACK_MEAN_QUALITY,TRACK_MAX_QUALITY,TRACK_MIN_QUALITY,TRACK_MEDIAN_QUALITY,TRACK_STD_QUALITY
Track_5475,2671,36,1,1,0,0,0,72,228,300,0.200,2671,23.161,48.341,0,0.014,0.058,0.001,0.010,0.012,20.622,33.401,10.396,20.099,6.295
Track_5476,2672,4,0,0,0,0,0,6,234,240,0.391,2672,38.484,50.460,0,0.090,0.219,0.010,0.042,0.112,19.729,30.300,11.245,25.904,8.516
Track_5477,2673,11,1,1,0,0,0,22,232,254,0.092,2673,39.521,50.639,0,0.018,0.034,0.004,0.023,0.011,22.079,33.949,15.315,20.800,5.120
Track_5478,2674,32,0,0,0,0,0,62,238,300,0.075,2674,25.105,51.651,0,0.015,0.038,0.002,0.014,0.008,27.446,42.604,11.030,27.288,7.141
Track_5479,2675,8,0,0,0,0,0,14,234,248,0.085,2675,28.101,55.381,0,0.053,0.126,0.002,0.044,0.041,24.785,33.797,11.849,24.806,6.230
Track_5480,2676,7,1,1,0,0,0,14,230,244,0.182,2676,12.359,55.550,0,0.021,0.039,0.010,0.018,0.011,11.247,13.254,10.335,11.167,0.965
Track_5481,2677,19,0,0,0,0,0,36,238,274,0.676,2677,11.956,56.936,0,0.030,0.049,0.011,0.032,0.011,18.226,27.115,10.027,18.065,5.835
Track_5482,2678,4,0,0,0,0,0,6,238,244,0.098,2678,32.096,58.512,0,0.124,0.175,0.031,0.165,0.080,14.970,17.869,10.852,15.997,2.572
Track_5483,2679,34,0,0,0,0,0,66,234,300,0.048,2679,29.053,58.432,0,0.010,0.028,6.658E-4,0.009,0.007,27.684,36.659,11.326,31.023,7.800
Track_5484,2680,85,2,1,8,0,0,72,228,300,0.455,2680,4.125,62.740,0,0.086,0.222,3.278E-4,0.077,0.066,22.103,23.530,20.716,22.152,0.515
Track_5485,2681,9,0,0,0,0,0,16,230,246,0.494,2681,39.471,17.807,0,0.066,0.222,0.005,0.052,0.070,74.744,112.832,29.726,77.956,24.311
Track_5486,2682,8,0,0,0,0,0,14,230,244,0.297,2682,43.932,17.964,0,0.030,0.065,0.010,0.019,0.022,43.893,78.762,12.916,40.673,19.270
Track_5487,2683,38,0,0,1,0,0,64,236,300,0.407,2683,41.199,22.003,0,0.040,0.199,7.470E-4,0.018,0.051,70.966,139.969,10.020,80.205,31.673
Track_5488,2684,7,0,0,0,0,0,12,238,250,0.207,2684,38.485,21.566,0,0.024,0.061,0.004,0.021,0.022,12.899,15.199,11.283,12.518,1.357
Track_5489,2685,2,0,0,0,0,0,2,238,240,0.041,2685,46.520,20.882,0,0.020,0.020,0.020,0.020,NaN,10.645,11.277,10.014,11.277,0.632
Track_5490,2686,4,0,0,0,0,0,6,236,242,0.121,2686,46.577,23.791,0,0.026,0.039,0.015,0.025,0.012,14.780,22.583,11.066,13.049,4.562
Track_5491,2687,7,0,0,0,0,0,12,236,248,0.153,2687,38.179,23.912,0,0.019,0.062,0.005,0.012,0.022,12.436,13.994,10.839,12.463,1.133
Track_5492,2688,36,1,1,0,0,0,72,228,300,0.196,2688,44.106,26.474,0,0.008,0.019,0.001,0.007,0.005,87.788,129.680,11.632,89.280,29.656
Track_5493,2689,33,0,0,1,0,0,62,238,300,0.088,2689,45.777,26.081,0,0.030,0.216,0.001,0.010,0.053,138.182,252.335,21.455,145.651,79.775
Track_5494,2690,12,0,0,0,0,0,22,236,258,0.219,2690,44.998,29.913,0,0.075,0.216,0.010,0.051,0.062,32.020,74.238,10.961,25.330,20.176
Track_5495,2691,39,0,0,1,0,0,72,228,300,0.340,2691,38.937,32.758,0,0.029,0.232,0.003,0.015,0.045,138.665,197.630,18.305,150.051,42.924
Track_5496,2692,8,0,0,0,0,0,14,236,250,0.296,2692,44.206,32.600,0,0.075,0.247,0.008,0.051,0.079,75.533,100.480,16.340,88.324,25.382
Track_5497,2693,11,0,0,0,0,0,20,238,258,0.256,2693,43.178,32.209,0,0.024,0.071,0.005,0.017,0.020,23.875,31.885,19.220,23.206,3.390
