Label,TRACK_ID,NUMBER_SPOTS,NUMBER_GAPS,LONGEST_GAP,NUMBER_SPLITS,NUMBER_MERGES,NUMBER_COMPLEX,TRACK_DURATION,TRACK_START,TRACK_STOP,TRACK_DISPLACEMENT,TRACK_INDEX,TRACK_X_LOCATION,TRACK_Y_LOCATION,TRACK_Z_LOCATION,TRACK_MEAN_SPEED,TRACK_MAX_SPEED,TRACK_MIN_SPEED,TRACK_MEDIAN_SPEED,TRACK_STD_SPEED,TRACK_MEAN_QUALITY,TRACK_MAX_QUALITY,TRACK_MIN_QUALITY,TRACK_MEDIAN_QUALITY,TRACK_STD_QUALITY
Track_0,0,151,0,0,0,0,0,300,0,300,0.356,0,35.530,12.655,0,0.008,0.033,7.375E-4,0.007,0.005,53.872,80.075,28.914,53.549,11.682
Track_1,1,151,0,0,0,0,0,300,0,300,0.352,1,39.540,12.104,0,0.008,0.029,4.619E-4,0.007,0.006,69.474,121.901,27.705,63.909,24.284
Track_2,2,25,0,0,0,0,0,48,0,48,0.247,2,40.477,11.956,0,0.016,0.069,0.001,0.009,0.019,26.421,38.709,16.446,27.573,7.086
Track_3,3,151,0,0,0,0,0,300,0,300,0.418,3,34.086,11.925,0,0.012,0.072,2.350E-4,0.010,0.008,49.562,72.306,33.644,46.328,10.000
Track_4,4,151,0,0,0,0,0,300,0,300,0.345,4,40.760,11.447,0,0.010,0.086,2.282E-4,0.008,0.009,35.051,58.051,9.542,37.338,12.196
Track_5,5,33,0,0,0,0,0,64,0,64,0.050,5,41.383,11.460,0,0.010,0.021,0.003,0.010,0.005,32.383,44.231,10.763,34.334,8.171
Track_6,6,151,0,0,0,0,0,300,0,300,0.213,6,35.181,11.375,0,0.023,0.093,0.002,0.018,0.019,24.358,33.550,12.849,24.538,4.152
Track_7,7,43,0,0,0,0,0,84,0,84,0.096,7,39.058,11.461,0,0.013,0.047,3.978E-4,0.011,0.010,63.528,88.219,41.034,63.833,12.936
Track_8,8,151,0,0,0,0,0,300,0,300,0.301,8,30.808,13.648,0,0.009,0.039,8.007E-4,0.008,0.006,38.756,65.417,15.915,38.668,10.134
Track_9,9,151,0,0,0,0,0,300,0,300,0.389,9,35.017,13.399,0,0.008,0.024,2.436E-4,0.008,0.004,60.079,80.039,45.990,58.392,8.259
Track_10,10,44,1,1,0,0,0,88,0,88,0.125,10,35.699,13.234,0,0.017,0.042,0.005,0.015,0.010,20.711,27.674,12.573,20.585,3.755
Track_11,11,70,0,0,0,0,0,138,0,138,0.290,11,34.199,13.142,0,0.010,0.034,0.001,0.009,0.007,37.563,64.542,13.519,39.214,16.817
Track_12,12,151,0,0,0,0,0,300,0,300,0.317,12,40.402,12.992,0,0.009,0.033,1.522E-4,0.008,0.006,61.418,79.823,43.414,61.315,6.632
Track_13,13,48,1,1,0,0,0,96,0,96,0.185,13,40.990,12.764,0,0.010,0.035,0.002,0.008,0.006,44.834,59.947,22.674,49.188,12.398
Track_14,14,10,0,0,0,0,0,18,0,18,0.075,14,29.914,16.464,0,0.037,0.122,0.003,0.019,0.038,44.017,50.375,36.431,44.095,4.878
Track_15,15,151,0,0,0,0,0,300,0,300,0.450,15,29.288,15.886,0,0.015,0.090,0.001,0.011,0.013,65.726,89.898,29.162,69.085,14.512
Track_16,16,151,0,0,0,0,0,300,0,300,0.346,16,31.370,15.850,0,0.011,0.064,8.570E-4,0.009,0.008,75.739,112.092,53.529,74.667,12.390
Track_17,17,151,0,0,0,0,0,300,0,300,0.346,17,30.595,15.030,0,0.007,0.021,0.001,0.006,0.004,51.737,69.302,27.082,53.803,10.866
Track_18,18,58,3,1,0,0,0,120,0,120,0.248,18,34.369,14.958,0,0.025,0.084,0.004,0.020,0.017,11.659,17.178,8.056,11.451,2.441
Track_19,19,24,0,0,0,0,0,46,0,46,0.106,19,35.354,14.627,0,0.014,0.031,0.002,0.012,0.007,12.207,16.071,8.050,12.847,2.376
Track_20,20,151,0,0,0,0,0,300,0,300,0.400,20,30.505,14.267,0,0.011,0.082,6.476E-4,0.009,0.010,70.846,103.723,48.706,70.885,9.225
Track_21,21,54,0,0,0,0,0,106,0,106,0.162,21,31.662,18.043,0,0.015,0.039,0.001,0.015,0.008,17.612,30.723,8.762,16.108,5.799
Track_22,22,151,0,0,0,0,0,300,0,300,0.341,22,27.905,17.838,0,0.009,0.025,6.488E-4,0.008,0.005,68.159,96.415,36.177,71.213,13.499
Track_23,23,151,0,0,0,0,0,300,0,300,0.310,23,29.539,17.285,0,0.008,0.024,2.767E-4,0.007,0.004,49.962,77.353,20.380,53.287,15.293
