Label,TRACK_ID,NUMBER_SPOTS,NUMBER_GAPS,LONGEST_GAP,NUMBER_SPLITS,NUMBER_MERGES,NUMBER_COMPLEX,TRACK_DURATION,TRACK_START,TRACK_STOP,TRACK_DISPLACEMENT,TRACK_INDEX,TRACK_X_LOCATION,TRACK_Y_LOCATION,TRACK_Z_LOCATION,TRACK_MEAN_SPEED,TRACK_MAX_SPEED,TRACK_MIN_SPEED,TRACK_MEDIAN_SPEED,TRACK_STD_SPEED,TRACK_MEAN_QUALITY,TRACK_MAX_QUALITY,TRACK_MIN_QUALITY,TRACK_MEDIAN_QUALITY,TRACK_STD_QUALITY
Track_0,0,7,0,0,0,0,0,0.300,0.050,0.350,0.167,0,3.705,4.386,0,1.854,3.893,0.370,1.225,1.546,23.657,25.385,22.953,23.298,0.799
Track_1,1,3,0,0,0,0,0,0.100,0.000,0.100,0.013,1,3.701,4.932,0,1.360,1.485,1.234,1.485,0.177,24.781,24.907,24.636,24.799,0.111
Track_2,2,2,0,0,0,0,0,0.050,0.100,0.150,0.117,2,3.705,3.893,0,2.349,2.349,2.349,2.349,NaN,23.552,23.724,23.380,23.724,0.172
Track_3,3,8,0,0,0,0,0,0.350,0.400,0.750,0.040,3,3.705,4.757,0,1.609,3.634,0.704,1.145,0.990,24.568,24.935,24.087,24.554,0.282
Track_4,4,5,1,1,0,0,0,0.250,0.800,1.050,0.055,4,3.699,4.381,0,1.199,3.290,0.109,0.815,1.425,23.857,24.859,23.202,23.368,0.691
Track_5,5,6,1,1,0,0,0,0.300,1.100,1.400,0.113,5,3.698,4.731,0,2.159,3.225,1.066,1.817,0.959,24.173,24.855,23.550,24.391,0.517
Track_6,6,2,0,0,0,0,0,0.050,0.600,0.650,0.076,6,3.701,4.387,0,1.513,1.513,1.513,1.513,NaN,22.728,22.903,22.553,22.903,0.175
Track_7,7,2,0,0,0,0,0,0.050,1.050,1.100,0.008,7,3.700,3.856,0,0.162,0.162,0.162,0.162,NaN,23.891,24.025,23.757,24.025,0.134
Track_8,8,2,0,0,0,0,0,0.050,1.250,1.300,0.137,8,3.701,4.327,0,2.738,2.738,2.738,2.738,NaN,24.564,24.783,24.344,24.783,0.220
Track_9,9,4,1,1,0,0,0,0.200,1.450,1.650,0.221,9,3.699,4.726,0,1.389,3.316,0.258,0.594,1.677,24.201,25.207,23.642,24.006,0.597
Track_10,10,3,0,0,0,0,0,0.100,1.450,1.550,0.233,10,3.699,3.980,0,2.334,3.585,1.083,3.585,1.769,23.094,23.702,22.651,22.929,0.445
Track_11,11,2,0,0,0,0,0,0.050,1.600,1.650,0.002,11,3.703,3.812,0,0.045,0.045,0.045,0.045,NaN,23.484,24.137,22.831,24.137,0.653
Track_12,12,2,0,0,0,0,0,0.050,1.550,1.600,0.069,12,3.698,4.268,0,1.372,1.372,1.372,1.372,NaN,23.398,23.765,23.030,23.765,0.368
Track_13,13,4,1,1,0,0,0,0.200,1.850,2.050,0.031,13,3.711,4.927,0,1.326,2.766,0.091,1.121,1.349,24.018,24.911,23.106,24.127,0.642
Track_14,14,6,0,0,0,0,0,0.250,1.950,2.200,0.102,14,3.699,4.398,0,1.707,2.722,0.569,1.348,0.912,24.724,25.485,23.219,25.201,0.790
Track_15,15,13,3,1,0,0,0,0.750,2.250,3.000,0.116,15,3.700,4.865,0,1.127,3.386,0.047,0.750,1.128,24.241,25.034,23.139,24.319,0.529
Track_16,16,2,0,0,0,0,0,0.050,2.450,2.500,0.104,16,3.717,4.040,0,2.075,2.075,2.075,2.075,NaN,24.308,25.136,23.479,25.136,0.828
Track_17,17,3,0,0,0,0,0,0.100,2.650,2.750,0.308,17,3.697,3.984,0,3.083,3.549,2.617,3.549,0.659,23.490,24.217,22.960,23.295,0.531
Track_18,18,2,0,0,0,0,0,0.050,2.750,2.800,0.158,18,3.701,4.399,0,3.159,3.159,3.159,3.159,NaN,23.870,23.934,23.806,23.934,0.064
Track_19,19,5,0,0,0,0,0,0.200,2.900,3.100,0.116,19,3.696,4.357,0,2.422,3.687,1.633,2.389,0.898,23.441,24.283,22.713,23.167,0.618
Track_20,20,3,0,0,0,0,0,0.100,1.700,1.800,0.119,20,3.697,4.510,0,1.400,2.585,0.216,2.585,1.675,23.870,24.177,23.441,23.990,0.312
