Label,TRACK_ID,NUMBER_SPOTS,NUMBER_GAPS,LONGEST_GAP,NUMBER_SPLITS,NUMBER_MERGES,NUMBER_COMPLEX,TRACK_DURATION,TRACK_START,TRACK_STOP,TRACK_DISPLACEMENT,TRACK_INDEX,TRACK_X_LOCATION,TRACK_Y_LOCATION,TRACK_Z_LOCATION,TRACK_MEAN_SPEED,TRACK_MAX_SPEED,TRACK_MIN_SPEED,TRACK_MEDIAN_SPEED,TRACK_STD_SPEED,TRACK_MEAN_QUALITY,TRACK_MAX_QUALITY,TRACK_MIN_QUALITY,TRACK_MEDIAN_QUALITY,TRACK_STD_QUALITY
Track_7078,7078,2,0,0,0,0,0,0.060,35.100,35.160,0.106,7078,14.488,11.357,0,1.763,1.763,1.763,1.763,NaN,4.125,4.538,3.712,4.538,0.413
Track_7079,7079,2,0,0,0,0,0,0.060,35.100,35.160,0.234,7079,19.869,12.275,0,3.901,3.901,3.901,3.901,NaN,3.399,3.441,3.356,3.441,0.042
Track_7080,7080,3,0,0,0,0,0,0.120,35.040,35.160,0.455,7080,4.316,12.309,0,8.265,8.962,7.567,8.962,0.987,3.588,3.640,3.512,3.611,0.055
Track_7081,7081,3,0,0,0,0,0,0.120,35.040,35.160,0.329,7081,7.605,13.653,0,4.740,5.418,4.062,5.418,0.959,3.281,3.486,3.014,3.342,0.197
Track_7082,7082,3,0,0,0,0,0,0.120,35.100,35.220,0.172,7082,12.843,0.154,0,7.314,8.347,6.281,8.347,1.461,3.180,3.220,3.139,3.180,0.033
Track_7083,7083,4,0,0,0,0,0,0.180,35.040,35.220,0.321,7083,19.846,13.638,0,3.393,4.329,1.750,4.100,1.428,3.584,3.881,3.048,3.717,0.318
Track_7084,7084,2,0,0,0,0,0,0.060,35.100,35.160,0.409,7084,11.085,14.204,0,6.812,6.812,6.812,6.812,NaN,4.121,4.165,4.077,4.165,0.044
Track_7085,7085,4,0,0,0,0,0,0.180,35.100,35.280,0.455,7085,6.558,13.859,0,4.487,5.846,2.566,5.048,1.711,3.583,3.932,3.171,3.665,0.273
Track_7086,7086,3,0,0,0,0,0,0.120,35.040,35.160,0.172,7086,8.457,14.365,0,2.179,2.479,1.879,2.479,0.424,3.736,4.493,3.165,3.549,0.558
Track_7087,7087,8,0,0,0,0,0,0.420,35.040,35.460,0.570,7087,2.730,15.094,0,4.602,9.665,1.843,3.668,2.795,4.518,5.275,3.805,4.491,0.513
Track_7088,7088,7,1,1,0,0,0,0.420,35.100,35.520,0.459,7088,0.347,15.340,0,3.251,6.835,2.087,2.685,1.775,4.097,5.857,3.287,3.616,0.869
Track_7089,7089,2,0,0,0,0,0,0.060,35.100,35.160,0.487,7089,0.958,16.292,0,8.115,8.115,8.115,8.115,NaN,3.161,3.284,3.038,3.284,0.123
Track_7090,7090,4,0,0,0,0,0,0.180,35.040,35.220,0.394,7090,11.523,4.662,0,2.514,5.266,1.117,1.158,2.384,3.644,4.078,3.351,3.787,0.306
Track_7091,7091,8,0,0,0,0,0,0.420,35.040,35.460,0.175,7091,14.536,4.637,0,2.319,4.239,0.740,2.413,1.253,5.974,9.950,3.441,6.161,1.925
Track_7092,7092,3,0,0,0,0,0,0.120,34.680,34.800,0.095,7092,19.374,13.538,0,0.980,1.615,0.345,1.615,0.898,3.860,5.050,3.261,3.269,0.842
Track_7093,7093,2,0,0,0,0,0,0.060,34.740,34.800,0.100,7093,10.305,14.939,0,1.663,1.663,1.663,1.663,NaN,3.614,3.940,3.288,3.940,0.326
Track_7094,7094,2,0,0,0,0,0,0.060,34.740,34.800,0.171,7094,1.895,15.798,0,2.851,2.851,2.851,2.851,NaN,3.770,3.981,3.560,3.981,0.210
Track_7095,7095,2,0,0,0,0,0,0.060,34.740,34.800,0.171,7095,10.946,23.672,0,2.857,2.857,2.857,2.857,NaN,3.218,3.264,3.173,3.264,0.046
Track_7096,7096,2,0,0,0,0,0,0.060,34.740,34.800,0.255,7096,13.207,0.000,0,4.246,4.246,4.246,4.246,NaN,4.355,4.858,3.852,4.858,0.503
Track_7097,7097,3,0,0,0,0,0,0.120,34.680,34.800,0.704,7097,10.043,5.782,0,7.243,9.837,4.650,9.837,3.668,3.633,4.597,3.056,3.247,0.686
Track_7098,7098,2,0,0,0,0,0,0.060,34.740,34.800,0.301,7098,4.986,12.818,0,5.022,5.022,5.022,5.022,NaN,3.294,3.515,3.074,3.515,0.221
Track_7099,7099,3,0,0,0,0,0,0.120,35.220,35.340,0.199,7099,16.064,9.203,0,2.770,4.181,1.360,4.181,1.995,3.316,3.685,3.117,3.145,0.261
Track_7100,7100,4,0,0,0,0,0,0.180,35.280,35.460,0.391,7100,16.365,10.229,0,4.569,5.957,3.734,4.014,1.211,3.824,4.976,3.242,3.571,0.676
Track_7101,7101,7,0,0,0,0,0,0.360,35.160,35.520,0.792,7101,19.058,10.604,0,6.345,8.017,4.038,7.188,1.646,3.667,4.970,3.139,3.230,0.645
Track_7102,7102,7,0,0,0,0,0,0.360,35.280,35.640,0.380,7102,14.837,10.924,0,4.800,6.522,1.862,5.555,1.779,3.954,4.768,3.070,3.854,0.563
Track_7103,7103,6,1,1,0,0,0,0.360,35.040,35.400,0.633,7103,2.262,10.843,0,3.143,4.544,2.054,3.381,1.013,3.810,4.783,3.090,3.636,0.655
Track_7104,7104,5,0,0,0,0,0,0.240,35.280,35.520,0.139,7104,17.978,11.661,0,1.983,2.376,1.598,2.115,0.337,3.922,6.007,3.231,3.441,1.048
Track_7105,7105,5,0,0,0,0,0,0.240,35.280,35.520,1.108,7105,8.347,11.572,0,4.744,7.151,2.351,6.331,2.353,4.479,6.265,3.624,4.249,0.941
Track_7106,7106,13,3,1,0,0,0,0.900,35.160,36.060,1.036,7106,19.580,11.457,0,3.248,6.949,0.560,3.018,1.953,4.172,5.772,3.100,3.733,0.857
Track_7107,7107,11,0,0,0,0,0,0.600,35.160,35.760,0.193,7107,2.652,13.232,0,3.282,9.383,1.317,2.520,2.428,5.228,7.685,3.620,5.026,1.383
Track_7108,7108,3,0,0,0,0,0,0.120,35.280,35.400,0.535,7108,5.571,14.966,0,5.871,7.622,4.121,7.622,2.476,3.420,3.744,3.169,3.349,0.240
Track_7109,7109,4,0,0,0,0,0,0.180,35.280,35.460,0.433,7109,3.333,15.132,0,3.199,5.411,1.108,3.080,2.154,3.871,5.087,3.106,3.993,0.776
Track_7110,7110,3,0,0,0,0,0,0.120,35.220,35.340,0.542,7110,7.671,16.253,0,4.520,4.904,4.136,4.904,0.543,3.783,4.212,3.366,3.772,0.346
Track_7111,7111,3,0,0,0,0,0,0.120,35.280,35.400,0.290,7111,2.060,17.041,0,3.823,5.771,1.876,5.771,2.754,3.669,4.774,3.068,3.166,0.782
